die Tradition; tradice
die Tracht; kroj
der Advent; advent
die Bohne; fazole
entweder oder; buď nebo
heilig; svatý
das Ostern; Velikonoce
das Weihnachten; Vánoce
der Zimtstern; skořicová hvězda
zumindest; alespoň
zunächst; nejprve
die Bescherung; nadílka
die Bucht; záliv
die Erfüllung; splnění
irgendwo; někde
mager; skrovný
das Neujahr; Nový rok
das/der Silvester; silvestr
die Weinbeere; hronové víno
der Dreikönigstag; den Tří králů
der Junggesellenabschied; loučení se svobodou
der Valentinstag; Valentýn
verpassen; zmeškat
der Abiturient; maturant
die Aufnahmeprüfung; přijímací zkouška
das Auswahlverfahren; výběrové řízení
der Ball; bál
bebändern; ostužkovat
denkwürdig; pamětný
der Eimer; kbelík
das Klopapier; toaleťák
die Probezeit; zkušební doba
die Schärpe; šerpa
das Standesamt; matrika
zulassungsfrei; bez přijímaček
an/stossen; přiťuknout si
küssen; políbit
der Schlamm; bahno
die Schultüte; divný kornout
der Vorsatz; předsevzetí
die Achterbahn; horská dráha
der Adel; šlechta
die Angelegenheit; záležitost
der Bettler; žebrák
die Dunkelheit; tma
die Ehre; pocta
heilig/sprechen; svatořečit
das Melken; dojení
der Stall; chlév
das Volksfest; lidová slavnost
der Vorläufer; předchůdce
die Zweide; pastvina
das Zeit; stan
der Zweck; účel
entwickeln sich; vyvíjet se
gewöhnen sich; zvyknout si
die Osterrute; pomlázka
der Schnaps; šnaps
werfen; házet
das Dirndl; dirndl
die Fliege; motýlek
formell; formální
gruselig; děsivý
edel; ušlechtilý
unangemessen; nepřiměřený
