babička; bábuška
bratr; brat
v Moskvě; v Moskvje
váš; vaš
vaše; vášje
večer; vjéčjerom
setkáme se; my vstrjétimsja
vy; vy
kde; gde
ano; da
dědeček; djéduška
doma; dóma
dcera; dóčka
kamarád; drug
zítra; závtra
a; i
z; iz
jméno; ímja
kdy; kogdá
můj; moj
my; my
neslyším; ja nje slýšu
odkud; odkúda
jméno po otci; ótčjestvo
velmi; óčjeň
tatínek; pápa
kamarádka; podrúga
dnes; sjegódnja
sestra; sjestrá
syn; syn
ty; ty
u nás; u nas
u vás; u vas
ráno; útrom
čaj; čaj
hodina; čas
pět hodin; pjať časóv
haló; alló
hovoří Jan; govorít Jan
ahoj večer; do vjéčjera
na shledanou; do svidánja
dobrý den (literal); dóbryj djeň
dobrý den (informal); zdrástvuj
dobrý den (formal); zdrávstvujtje
kdo volá; kto govorít
těší mě; óčjeň prijátno
seznamte se; poznakóm´sja
ahoj (leaving); poká
ahoj (greeting); privjét
promiňte, nerozuměl jsem; prostítje, ja nje rasslýšal
těší mě, že vás poznávám; rad s vámi poznakómiťsja
jsem velmi rád; ja óčjeň rad
