žít, bydlet; жить
zde; здесь
vědět; знать
měsíc; месяс
zmrzlina; мороженое
dvojčata; близнецы
boršč; борщ
chutné; вкусные
mluvit; говорить
rok; год
město; город
den; день
narozeniny; день роздения
vesnice; деревня
dlouho; долго
přátelé; друзья
ještě; ещё
trochu; немного
ale; но
vysvětlit; объяснить
oni; они
pirožky; пирожки
špatně; плохо
prosím; пожалуйста
zatím; пока
rusky; по-русски
česky; по-чешски
pomůže; поможет
přijdu; приду
přijede; приедет
Rusko; Россия
ruský, Rus; русский
ruská, Ruska; русская
kolik; сколько
děkuji; спасибо
jenom; только
už; уже
učit; учить
příjmení; фамилия
chléb; хлеб
dobře; хорошо
Česko; Чехия
Česká republika; Чешская Республика
co, že; что
šči, zelná polévka; щи
jazyk; язык
