ab/mildern; zmírnit
basteln; kutit
bei/tragen; přispět
der Blumentopf; květináč
der Container; kontejner
entsorgen; zlikvidovat
globale Erwärmung; globální oteplování
grundsätzlich; zásadně
jeglicher; každý
laugnen; popřít
loben; chválit
die Luftverschmutzung; znečištění ovzduší
die Massnahme; opatření
der Mischabfall; směsný odpad
der Müll; odpad
Müll trennen; třídit odpad
ökologischer Fussabdruck; ekologická stopa
die Ozonschicht; ozonová vrstva
rückgängig; klesající
die Schädigung; poškození
die Stimmung; nálada
das Upcycling; upcyklace
die Verfechterin; zastánkyně
verpackungsfrei; bezobalový
weg/werfen; vyhodit
die Zerstörung; zničení
der Einwegkunststoff; jednorázový plast
jagen; lovit
der Müllmann; popelář
die Tonne; popelnice
abfallfrei; bezodpadový
an/passen sich; přizpůsobit se
das Artensterben; vymírání druhů
bepflanzen; osázet
bewähren sich; osvědčit se
die Geldbörse; peněženka
der Klimawandel; změna klimatu
lesten sich; dovolit si
die Mülldeponie; skládka odpadu
das Plastik; plast
prägen; razit
das Tischset; prostírání
überlassen; přenechat
der Verstand; rozum
zu/schütten; zasypat
der Anstieg; nárůst
auf/halten sich; zdržovat se
auf/tauchen; objevit se
erholen sich; vzpamatovat se
das Freie; venek
füttern; krmit
das Homeschooling; distanční výuka
der Impfstoff; vakcína
lahm/legen; zastavit
die Müllkippe; smetiště
die Nachhaltigkeit; udržitelnost
die Pandemie; pandemie
schrecken; vystrašit
sensibel; citlivý
sobald; jakmile
solange; dokud
still/stehen; stát
das Szenario; scénario
vorher/sagen; přepovědět
der Schatz; poklad
die Abfallwirtschaft; nakládání s odpady
an/knüpfen; navázat na
bereuen; litovat
beseitigen; odstranit
durchwühlen; prohrabat
handhaben; ovládat
die Heilpflanze; léčivá bylina
die Müllabfuhr; odvoz odpadu
der Müllsack; odpadkový pytel
der Müllwagen; popelářský vůz
der Nistplatz; hnízdiště
das Ozonloch; ozonová díra
recyceln; recyklovat
die Schale; slupka
die Sortieranlage; třídírna
der Stoffbeutel; látková taška
die Verbrennungsanlage; spalovna
verhaften; zatknout
verschwenden; promrhat
vorherig; předešlý
wohlriechend; vonný
bewahren; uchránit koho před kým
erneuerbar; obnovitelný
die Knappheir; nedostatek
das Öl; ropa
schmeltzen; tát
