Elegie; Jiří Orten
Chléb s ocelí; František Hrubín
Přilba hlíny; Jaroslav Seifert
Rudoarmějci; Vladimír Holan
Historický obraz; Vítězslav Nezval
Barikáda; František Halas
Květnové noci; Jaroslav Seifert
Tvorba; Ivan Skála
Denní služba; Miroslav Holub
Achilles a želva; Miroslav Holub
Anděl na kolečkách; Miroslav Holub
Svět náš vezdejší; Jiří Štola
Český orloj; Karel Šiktanc
Blízký hlas; Miroslav Florian
Pulsy; Oldřich Mikulášek
Divoké kačeny; Oldřich Mikulášek
Ortely a milost; Oldřich Mikulášek
Svlékání hadů; Oldřich Mikulášek
Šokovaná růže; Oldřich Mikulášek
Agogh; Oldřich Mikulášek
Hruden; Ludvík Kundera
Malé radosti; Ludvík Kundera
Pády; Ludvík Kundera
Chrlení krve; Ivan Diviš
Sursum; Ivan Diviš
Thanathea; Ivan Diviš
Odchod z Čech; Ivan Diviš
Teorie spolehlivosti; Ivan Diviš
Stop-time; Václav Hrabě
Blues pro bláznivou holku; Václav Hrabě
Horečka; Václav Hrabě
JOB-BOJ; Josef Hiršal, Bohumila Grögerová
Antikódy; Václav Havel
Zapadlo slunce za dnem, který nebyl; Ivan Wernisch
Zimohrádek; Ivan Wernisch
Loutky; Ivan Wernisch
Včerejší den; Ivan Wernisch
Doupě latinářů; Ivan Wernisch
Magorovy labutí písně; Ivan Martin Jirous
Magorova summa; Ivan Martin Jirous
