antworten auf; odpovědět na
sich freuen auf; těšit se na
warten auf; čekat na
sich ärgern über; zlobit se na
sich beschweren über; stěžovat si na
denken über; myslet si o
erzählen über; vyprávět o
sich freuen über; radovat se z
lachen über; smát se z
nach/denken über; přemýšlet o
schreiben über; psát o
sprechen über; mluvit o
reden über; hovořit o
denken an; myslet na
sich erinnern an; vzpomínat na
sich gewöhnen an; zvykat si na
glauben an; věřit v
grenzen an; hraničit s
sich bemühen um; snažit se o
sich bewerben um; ucházet se o
bitten um; prosit o
gehen um; jít o
sich kümmern um; starat se o
Angst haben um; mít strach o
jmdm. danken für; děkovat někomu za
sich entschuldigen für; omlouvat se za
sich entscheiden für; rozhodnout se pro
sich interessieren für; zajímat se o
leiden an; trpět čím
sterben an; zemřít na
teil/nehmen an; účastnit se na
j.n warnen vor; varovat někoho před
Angst haben vor; mít strach z/před
bestehen aus; skládat se z
sich erholen von; odpočinout si od
sich verabschieden von; rozloučit se s
ab/hängen von; záviset na
träumen von; snít o
auf/hören mit; přestat s
an/fangen mit; začít s
sich beschäftige mit; zabývat se s
gehören zu; patřit k
gratulieren zu; gratulovat k
fragen nach; ptát se na
riechen nach; vonět po/cítit po
stinken nach; páchnout po
